17_5	poder	eu | imperfeito	podia	I used to talk
17_6	poder	ele/a (vc) | imperfeito	podia	he used to talk
17_7	poder	nós | imperfeito	podíamos	we used to talk
17_8	poder	eles/as (vcs) | imperfeito	podiam	they used to talk
17_9	poder	eu | pretérito	pude	I talked
17_10	poder	ele/a (vc) | pretérito	pôde	he talked
17_11	poder	nós | pretérito	pudemos	we talked
17_12	poder	eles/as (vcs) | pretérito	puderam	they talked
17_13	poder	eu | condicional	poderia	I would talk
17_14	poder	ele/a (vc) | condicional	poderia	he would talk
17_15	poder	nós | condicional	poderíamos	we would talk
17_16	poder	eles/as (vcs) | condicional	poderiam	they would talk
17_17	poder	ele/a (vc) | imperativo	possa	talk!
17_18	poder	nós | imperativo	possamos	talk!
17_19	poder	eles/as (vcs) | imperativo	possam	talk!
17_20	poder	| gerundo	podendo	talking
17_21	poder	| particípio	podido	talked
17_22	poder	eu | presente subjuntivo	possa	(that) I talk
17_23	poder	ele/a (vc) | presente subjuntivo	possa	(that) he talk
17_24	poder	nós | presente subjuntivo	possamos	(that) we talk
17_25	poder	eles/as (vcs) | presente subjuntivo	possam	(that) they talk
17_26	poder	eu | imperfeito subjuntivo	pudesse	(if) I talked
17_27	poder	ele/a (vc) | imperfeito subjuntivo	pudesse	(if) he talked
17_28	poder	nós | imperfeito subjuntivo	pudéssemos	(if) we talked
17_29	poder	eles/as (vcs) | imperfeito subjuntivo	pudessem	(if) they talked
17_30	poder	eu | futuro subjuntivo	puder	if/when I talk
17_31	poder	ele/a (vc) | futuro subjuntivo	puder	if/when he talks
17_32	poder	nós | futuro subjuntivo	pudermos	if/when we talk
17_33	poder	eles/as (vcs) | futuro subjuntivo	puderem	if/when they talk
17_34	poder	eu | pessoal infinitivo	poder	for me to talk
17_35	poder	ele/a (vc) | pessoal infinitivo	poder	for him to talk
17_36	poder	nós | pessoal infinitivo	podermos	for us to talk
17_37	poder	eles/as (vcs) | pessoal infinitivo	poderem	for them to talk
18_1	ouvir	eu | presente	ouço	I talk
18_2	ouvir	ele/a (vc) | presente	ouve	he talks
18_3	ouvir	nós | presente	ouvimos	we talk
18_4	ouvir	eles/as (vcs) | presente	ouvem	they talk
18_5	ouvir	eu | imperfeito	ouvia	I used to talk
18_6	ouvir	ele/a (vc) | imperfeito	ouvia	he used to talk
18_7	ouvir	nós | imperfeito	ouvíamos	we used to talk
18_8	ouvir	eles/as (vcs) | imperfeito	ouviam	they used to talk
18_9	ouvir	eu | pretérito	ouvi	I talked
18_10	ouvir	ele/a (vc) | pretérito	ouviu	he talked
18_11	ouvir	nós | pretérito	ouvimos	we talked
18_12	ouvir	eles/as (vcs) | pretérito	ouviram	they talked
18_13	ouvir	eu | condicional	ouviria	I would talk
18_14	ouvir	ele/a (vc) | condicional	ouviria	he would talk
18_15	ouvir	nós | condicional	ouviríamos	we would talk
18_16	ouvir	eles/as (vcs) | condicional	ouviriam	they would talk
18_17	ouvir	ele/a (vc) | imperativo	ouça	talk!
18_18	ouvir	nós | imperativo	ouçamos	talk!
18_19	ouvir	eles/as (vcs) | imperativo	ouçam	talk!
18_20	ouvir	| gerundo	ouvindo	talking
18_21	ouvir	| particípio	ouvido	talked
18_22	ouvir	eu | presente subjuntivo	ouça	(that) I talk
18_23	ouvir	ele/a (vc) | presente subjuntivo	ouça	(that) he talk
18_24	ouvir	nós | presente subjuntivo	ouçamos	(that) we talk
18_25	ouvir	eles/as (vcs) | presente subjuntivo	ouçam	(that) they talk
18_26	ouvir	eu | imperfeito subjuntivo	ouvisse	(if) I talked
18_27	ouvir	ele/a (vc) | imperfeito subjuntivo	ouvisse	(if) he talked
18_28	ouvir	nós | imperfeito subjuntivo	ouvíssemos	(if) we talked
18_29	ouvir	eles/as (vcs) | imperfeito subjuntivo	ouvissem	(if) they talked
18_30	ouvir	eu | futuro subjuntivo	ouvir	if/when I talk
18_31	ouvir	ele/a (vc) | futuro subjuntivo	ouvir	if/when he talks
18_32	ouvir	nós | futuro subjuntivo	ouvirmos	if/when we talk
18_33	ouvir	eles/as (vcs) | futuro subjuntivo	ouvirem	if/when they talk
18_34	ouvir	eu | pessoal infinitivo	ouvir	for me to talk
18_35	ouvir	ele/a (vc) | pessoal infinitivo	ouvir	for him to talk
18_36	ouvir	nós | pessoal infinitivo	ouvirmos	for us to talk
18_37	ouvir	eles/as (vcs) | pessoal infinitivo	ouvirem	for them to talk
19_1	ler	eu | presente	leio	I talk
19_2	ler	ele/a (vc) | presente	lê	he talks
19_3	ler	nós | presente	lemos	we talk
19_4	ler	eles/as (vcs) | presente	leem	they talk
19_5	ler	eu | imperfeito	lia	I used to talk
19_6	ler	ele/a (vc) | imperfeito	lia	he used to talk
19_7	ler	nós | imperfeito	líamos	we used to talk
19_8	ler	eles/as (vcs) | imperfeito	liam	they used to talk
19_9	ler	eu | pretérito	li	I talked
19_10	ler	ele/a (vc) | pretérito	leu	he talked
19_11	ler	nós | pretérito	lemos	we talked
19_12	ler	eles/as (vcs) | pretérito	leram	they talked
19_13	ler	eu | condicional	leria	I would talk
19_14	ler	ele/a (vc) | condicional	leria	he would talk
19_15	ler	nós | condicional	leríamos	we would talk
19_16	ler	eles/as (vcs) | condicional	leriam	they would talk
19_17	ler	ele/a (vc) | imperativo	leia	talk!
19_18	ler	nós | imperativo	leiamos	talk!
19_19	ler	eles/as (vcs) | imperativo	leiam	talk!
19_20	ler	| gerundo	lendo	talking
19_21	ler	| particípio	lido	talked
19_22	ler	eu | presente subjuntivo	leia	(that) I talk
19_23	ler	ele/a (vc) | presente subjuntivo	leia	(that) he talk
19_24	ler	nós | presente subjuntivo	leiamos	(that) we talk
19_25	ler	eles/as (vcs) | presente subjuntivo	leiam	(that) they talk
19_26	ler	eu | imperfeito subjuntivo	lesse	(if) I talked
19_27	ler	ele/a (vc) | imperfeito subjuntivo	lesse	(if) he talked
19_28	ler	nós | imperfeito subjuntivo	lêssemos	(if) we talked
19_29	ler	eles/as (vcs) | imperfeito subjuntivo	lessem	(if) they talked
19_30	ler	eu | futuro subjuntivo	ler	if/when I talk
19_31	ler	ele/a (vc) | futuro subjuntivo	ler	if/when he talks
19_32	ler	nós | futuro subjuntivo	lermos	if/when we talk
19_33	ler	eles/as (vcs) | futuro subjuntivo	lerem	if/when they talk
19_34	ler	eu | pessoal infinitivo	ler	for me to talk
19_35	ler	ele/a (vc) | pessoal infinitivo	ler	for him to talk
19_36	ler	nós | pessoal infinitivo	lermos	for us to talk
19_37	ler	eles/as (vcs) | pessoal infinitivo	lerem	for them to talk
20_1	querer	eu | presente	quero	I talk
20_2	querer	ele/a (vc) | presente	quer	he talks
20_3	querer	nós | presente	queremos	we talk
20_4	querer	eles/as (vcs) | presente	querem	they talk
20_5	querer	eu | imperfeito	queria	I used to talk
20_6	querer	ele/a (vc) | imperfeito	queria	he used to talk
20_7	querer	nós | imperfeito	queríamos	we used to talk
20_8	querer	eles/as (vcs) | imperfeito	queriam	they used to talk
20_9	querer	eu | pretérito	quis	I talked
20_10	querer	ele/a (vc) | pretérito	quis	he talked
20_11	querer	nós | pretérito	quisemos	we talked
20_12	querer	eles/as (vcs) | pretérito	quiseram	they talked
